MMI Stock,Residual Volatility,View,Score,Alpha
American Express,23.26,Sell,-1,-2.09
AT&T,15.89,Buy,1,1.43
Coca-Cola ,20.44,Buy,1,1.84
Chevron ,18.92,Sell,-1,-1.7
Disney,19.17,Sell,-1,-1.73
Dow Chemical,16.93,Buy,1,1.52
DuPont,17.92,Buy,1,1.56
Exxon,21.13,Sell,-1,-1.9
General Electric ,14.42,Sell,-1,-1.3
General Motors ,23.46,Buy,1,2.11
IBM,30.32,Buy,1,2.73
International Paper,19.83,Sell,-1,-1.78
Johnson & Johnson,18.97,Buy,1,1.71
Kodak,19.2,Buy,1,1.73
McDonalds,20.54,Buy,1,1.85
Merck,20.43,Sell,-1,-1.84
3M,13.41,Sell,1,-1.21
Procter & Gamble,16.29,Sell,-1,-1.47
Philip Morris,20.17,Buy,1,1.82
Sears ,22.33,Sell,-1,-2.01
